X;time;peak
[64, 128, 1, 4];0.005073970416560769;0.0984085171510232
[64, 128, 2, 1];0.003608846280258149;0.13836053574611862
[64, 128, 2, 4];0.0048416328500024974;0.10313088997684887
[64, 256, 1, 1];0.005207375332247466;0.09588744288697182
[64, 256, 1, 4];0.0037894026609137654;0.13176797227494946
[128, 16, 1, 1];0.010865325923077762;0.04595553859101031
[128, 16, 1, 4];0.0077059679897502065;0.06479677899337999
[128, 16, 2, 1];0.0060788647388108075;0.0821406506339843
[128, 16, 2, 4];0.010582187911495566;0.047185129288763145
[128, 16, 4, 1];0.005048730003181845;0.0989004966491016
[128, 16, 4, 4];0.010557809961028397;0.04729407960600076
[128, 16, 8, 1];0.005792904121335596;0.08619543743575415
[128, 16, 8, 4];0.01081371447071433;0.04617487414839432
[128, 32, 1, 1];0.00678963668178767;0.07354177081393351
[128, 32, 1, 4];0.007141325739212334;0.06992005728294623
[128, 32, 2, 1];0.0044315343839116395;0.1126747220047883
[128, 32, 2, 4];0.005771268566604704;0.08651857022409563
[128, 32, 4, 1];0.004070039431098849;0.12268232610883956
[128, 32, 4, 4];0.005764839530456811;0.08661505704085713
[128, 64, 1, 1];0.0055636491742916405;0.08974719453360896
[128, 64, 1, 4];0.005560903111472726;0.08979151313241752
[128, 64, 2, 1];0.0032214397215284407;0.15499961133061246
[128, 64, 2, 4];0.006352269323542714;0.07860527936234113
[128, 128, 1, 1];0.004606858012266457;0.10838664951956074
[128, 128, 1, 4];0.004608641902450472;0.10834469575438463
[256, 16, 1, 1];0.012503128265962005;0.03993575800715713
[256, 16, 1, 4];0.006814797990955412;0.07327024299540558
[256, 16, 2, 1];0.006968198460526764;0.07165724506706404
[256, 16, 2, 4];0.010892134392634034;0.04584242966186485
[256, 16, 4, 1];0.0055051398812793195;0.09070103858030745
[256, 16, 4, 4];0.014878874877467752;0.0335591171290826
[256, 32, 1, 1];0.008560003829188645;0.058331972125908814
[256, 32, 1, 4];0.007489058771170676;0.06667351933250375
[256, 32, 2, 1];0.005330261774361134;0.09367680723743661
[256, 32, 2, 4];0.007713777362369001;0.06473117920123074
[256, 64, 1, 1];0.006172351655550301;0.08089654197082316
[256, 64, 1, 4];0.006168820313178003;0.08094285121180134
